곡명,좋아요
Celebrity,"152,706"
밤하늘의 별을(2020),"114,173"
VVS (Feat. JUSTHIS) (Prod. GroovyRoom),"162,797"
Dynamite,"379,155"
이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),"28,050"
잠이 오질 않네요,"112,476"
Lovesick Girls,"168,582"
취기를 빌려 (취향저격 그녀 X 산들),"172,390"
힘든 건 사랑이 아니다,"93,106"
에잇(Prod.&Feat. SUGA of BTS),"340,161"
오래된 노래,"212,409"
"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))","90,446"
Life Goes On,"187,603"
나랑 같이 걸을래 (바른연애 길잡이 X 적재),"66,165"
Blueming,"286,308"
화(火花),"55,912"
내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),"92,525"
Savage Love (Laxed - Siren Beat) (BTS Remix),"145,849"
혼술하고 싶은 밤,"30,012"
"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지","332,478"
흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,"275,636"
사실 나는 (Feat.전건호),"50,805"
늦은 밤 너의 집 앞 골목길에서,"173,252"
I'm Not Cool,"12,337"
When We Disco (Duet with 선미),"73,026"
어떻게 지내 (Prod. By VAN.C),"143,045"
"모든 날, 모든 순간 (Every day, Every Moment)","357,758"
그날에 나는 맘이 편했을까,"24,538"
METEOR,"248,596"
"CREDIT (Feat. 염따, 기리보이, Zion.T)","50,028"
How You Like That,"169,265"
마음을 드려요,"192,316"
아로하,"209,316"
서면역에서,"41,876"
Dolphin,"166,966"
2002,"349,037"
오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),"227,453"
작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),"409,347"
Memories,"153,903"
"Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)","55,545"
밝게 빛나는 별이 되어 비춰줄게,"19,410"
딩가딩가 (Dingga),"58,235"
거짓말이라도 해서 널 보고싶어,"55,790"
우리 왜 헤어져야 해,"98,599"
시작,"202,916"
Freak (Prod. Slom),"58,633"
뿌리 (Feat. JUSTHIS) (Prod. GroovyRoom),"48,341"
DON'T TOUCH ME,"159,850"
너의 번호를 누르고 (Prod. 영화처럼),"55,601"
Love poem,"285,357"
봄날,"521,385"
술 한잔 해요,"3,518"
내 손을 잡아,"79,091"
I CAN’T STOP ME,"53,633"
마리아 (Maria),"156,277"
사랑은 지날수록 더욱 선명하게 남아,"57,934"
살짝 설렜어 (Nonstop),"166,708"
"ON AIR (Feat. 로꼬, 박재범 & GRAY)","35,036"
Dance Monkey,"147,285"
Panorama,"51,466"
한잔이면 지워질까,"17,156"
홀로,"126,822"
Downtown Baby,"182,299"
너를 만나,"279,020"
안녕,"184,520"
"사랑 못해, 남들 쉽게 다 하는 거","28,044"
우린 어쩌다 헤어진 걸까,"14,709"
눈누난나 (NUNU NANA),"98,409"
소확행,"34,757"
가을밤에 든 생각,"65,022"
뻔한남자,"39,514"
처음처럼,"101,663"
추억은 만남보다 이별에 남아,"3,774"
이제 나만 믿어요,"107,705"
악역 (Feat. 이하이 & 사이먼 도미닉) (Prod. 코드 쿤스트),"32,226"
12:45 (Stripped),"106,004"
그대 없이 그대와,"10,654"
Don't Start Now,"129,984"
사랑하게 될 줄 알았어,"131,101"
Paris In The Rain,"240,566"
행복해,"26,429"
아무노래,"252,208"
잘할게,"22,034"
마지막 날에 (Moving On),"9,268"
What Do I Call You,"50,385"
고독하구만 (Feat. 수퍼비) (Prod. GroovyRoom),"26,619"
Bad Boy,"58,131"
Black Mamba,"37,344"
별을 담은 시 (Ode To The Stars),"37,779"
Snowman,"166,516"
Maniac,"116,695"
12월의 어느 겨울…,"14,158"
Your Lights,"13,209"
다시 여기 바닷가,"228,526"
"Rosario (Feat. CL, ZICO)","14,578"
나의 유일한 너에게,"13,192"
ON,"255,325"
너도 아는,"41,359"
"여백의 미 (Feat. Jessi, JUSTHIS) (Prod. GroovyRoom)","24,483"
나로 바꾸자 (duet with JYP),"20,029"
