영상제목,영상링크,조회수,썸네일 주소
옷만 두고 외출했더니 강아지가.. ㅠㅠ,http://www.youtube.com/watch?v=qZx37fCBq4w,28710,https://i.ytimg.com/vi/qZx37fCBq4w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPCgss5uCNNKhnMwhyoh7N7Qw04g
산책을 못 가는데 더 신난 강아지들ㅋㅋ,http://www.youtube.com/watch?v=UC9opgznc7A,103356,https://i.ytimg.com/vi/UC9opgznc7A/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZZovbHUrDOCDXnLfs37uL4awo-g
강아지에게 마사지기를 사주면 생기는 일,http://www.youtube.com/watch?v=ipf2PeyRdlU,170734,https://i.ytimg.com/vi/ipf2PeyRdlU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUvh-UnMneWOwwhr4I9AfOliixmA
강아지를 위한 공사중..춥다,http://www.youtube.com/watch?v=kC6VXU6R9ns,1463,https://i.ytimg.com/vi/kC6VXU6R9ns/hqdefault_live.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgLm6K-kOInGcfS06hfuYLd4EJKQ
[SUB] 강아지의 100일간의 성장과정,http://www.youtube.com/watch?v=S8baeh8OyR0,7447609,https://i.ytimg.com/vi/S8baeh8OyR0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmFQifzF7Bi15DOZH5o0XvgzPC-A
아기와 강아지의 15개월간의 성장기,http://www.youtube.com/watch?v=yn9d3VHhHMc,982735,https://i.ytimg.com/vi/yn9d3VHhHMc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4UM_5YHvfoZkawlrOxgYE_c61HA
할머니 왈! 오이 먹는데 도사인 강아지,http://www.youtube.com/watch?v=VZsqHtv-n-s,6823,https://i.ytimg.com/vi/VZsqHtv-n-s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4QLbnGCaxRkmZwbwJlUbZNb9hHQ
[로블록스] 우주 꽃게!! 파랑 강아지!! 헤드크랩! 위닝 스마일!  Trevor Creatures New,http://www.youtube.com/watch?v=tGuNLxw44pA,468,https://i.ytimg.com/vi/tGuNLxw44pA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9maMmqOF3bjwx8_32RTSq27UbtA
아기 강아지가 왔어요!,http://www.youtube.com/watch?v=W16KeTlI_20,1861909,https://i.ytimg.com/vi/W16KeTlI_20/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9cJgtM4EAEcoAitsMu0_KjLItBg
3분만에 강아지 키우고 싶어지는 틱톡 댕댕이 영상ㅋㅋㅋㅋㅋㅋ♥ 너무 귀여워...ㅜㅜ,http://www.youtube.com/watch?v=TwzkanNbGEg,285016,https://i.ytimg.com/vi/TwzkanNbGEg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVFHZBEb7F00uCqqVrk8M3yukGBQ
